Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Au (at.%),Al (at.%)
Michael B. Cortiea; Catherine S. Kealley; Vijay Bhatia; Gordon J. Thorogood; Margaret M. Elcombe; Maxim Avdeev,Journal of Alloys and Compounds,High temperature transformations of the Au7Cu5Al4 shape-memory alloy,2011.0,75.0,11.90625,31.25,Au43.75Cu31.25Al25.0 %,43.75,25.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,9.0,13.69842,23.1,Au57.6Cu23.1Al19.3 %,57.6,19.3
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,54.0,12.27034,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,55.0,12.27034,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,56.0,12.27034,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,116.0,12.27034,32.7,Au45.4Cu32.7Al21.9 %,45.4,21.9
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,76.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,77.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,78.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,78.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,78.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,78.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,78.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,78.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,86.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,87.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,89.0,12.1188,34.0,Au44.0Cu34.0Al22.0 %,44.0,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,66.0,12.2745,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,70.0,12.2745,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,72.0,12.2745,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,72.0,12.2745,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,73.0,12.2745,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,146.0,12.2745,32.5,Au45.5Cu32.5Al22.0 %,45.5,22.0
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,31.0,12.6233,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,33.0,12.6233,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,33.0,12.6233,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
L. Fumagalli; S. Besseghini; F. Passaretti; G. Airoldi,Journal of Alloys and Compounds,Thermoelastic martensitic transformation in Au–Cu–Al alloys doped with Co or Ir,2007.0,33.0,12.6233,28.5,Au49.1Cu28.5Al22.4 %,49.1,22.4
