Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Ni (at.%),composition,Ti (at.%),Au (at.%)
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,50.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,40.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,41.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,30.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,37.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,43.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,25.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,35.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,26.0,10.90831,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
S.H. Kayani; M.I. Khan; F.A. Khalid; H.Y. Young S. Miyazaki,Shape Memory and Superelasticity,Precipitation Behavior of Thermo-Mechanically Treated Ti50Ni20Au20Cu10 High-Temperature Shape-Memory Alloy,2016.0,28.0,8.7859,30.0,Ni30.0Ti50.0Au20.0 %,50.0,20.0
