Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,46.0,7.30494,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,48.0,7.30494,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Liu; Huang; Xie,,Superelastic anisotropy characteristics of columnar-grained Cu–Al–Mn shape memory alloys and its potential applications,2015.0,26.4,7.64422,70.9,Cu70.9Al17.9Mn11.2 %,17.9,11.2
Liu; Huang; Xie,,The roles of grain orientation and grain boundary characteristics in the enhanced superelasticity of Cu71.8Al17.8Mn10.4 shape memory alloys,2014.0,49.5,7.66494,72.0,Cu72.0Al17.8Mn10.2 %,17.8,10.2
Liu; Huang; Xie,,The roles of grain orientation and grain boundary characteristics in the enhanced superelasticity of Cu71.8Al17.8Mn10.4 shape memory alloys,2014.0,35.2,7.66204,71.8,Cu71.8Al17.8Mn10.4 %,17.8,10.4
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,100.0,7.47494,73.7,Cu73.7Al22.3Mn4.0 %,22.3,4.0
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,128.0,7.37523,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,109.0,7.36508,70.4,Cu70.4Al23.6Mn6.0 %,23.6,6.0
Lopez del Castillo; Hernaez,,The effect of thermal and stress cycling on thermoelastic martensite formation in Cu-AI-M n alloys,1986.0,75.0,7.40221,70.0,Cu70.0Al22.7Mn7.3 %,22.7,7.3
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,103.0,7.42251,71.4,Cu71.4Al22.7Mn5.9 %,22.7,5.9
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,60.0,7.48471,72.4,Cu72.4Al21.7Mn5.9 %,21.7,5.9
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,73.0,7.48181,72.2,Cu72.2Al21.7Mn6.1 %,21.7,6.1
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,69.0,7.47643,71.5,Cu71.5Al21.6Mn6.9 %,21.6,6.9
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,78.0,7.47498,71.4,Cu71.4Al21.6Mn7.0 %,21.6,7.0
