Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Hf (at.%)
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,204.0,222.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,202.0,219.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,201.0,213.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,200.0,212.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Scripta Materialia,Effect of aging on the phase transformation and mechanical behavior of Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,187.0,212.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Scripta Materialia,Effect of aging on the phase transformation and mechanical behavior of Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,120.0,209.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Scripta Materialia,Effect of aging on the phase transformation and mechanical behavior of Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,128.0,213.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. F. Zheng; Z. Wang and L. C. Zhao,Scripta Materialia,Effect of aging on the phase transformation and mechanical behavior of Ti36Ni49Hf15 high temperature shape memory alloy,2000.0,151.0,213.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. X. Tong; K. T. Lau; W. Cai; L. M. Zhou and L. C. Zhao,Materials Letters,Effect of Cu addition on phase transformation of Ti–Ni–Hf high-temperature shape memory alloys,2002.0,163.0,158.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. X. Tong; K. T. Lau; W. Cai; L. M. Zhou and L. C. Zhao,Materials Letters,Effect of Cu addition on phase transformation of Ti–Ni–Hf high-temperature shape memory alloys,2002.0,164.0,161.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. X. Tong; K. T. Lau; W. Cai; L. M. Zhou and L. C. Zhao,Materials Letters,Effect of Cu addition on phase transformation of Ti–Ni–Hf high-temperature shape memory alloys,2002.0,166.0,165.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. X. Tong; K. T. Lau; W. Cai; L. M. Zhou and L. C. Zhao,Materials Letters,Effect of Cu addition on phase transformation of Ti–Ni–Hf high-temperature shape memory alloys,2002.0,168.0,173.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. X. Tong; K. T. Lau; W. Cai; L. M. Zhou and L. C. Zhao,Materials Letters,Effect of Cu addition on phase transformation of Ti–Ni–Hf high-temperature shape memory alloys,2002.0,173.0,182.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. L. Meng; Y. X. Tong; K. T. Lau; W. Cai; L. M. Zhou and L. C. Zhao,Materials Letters,Effect of Cu addition on phase transformation of Ti–Ni–Hf high-temperature shape memory alloys,2002.0,180.0,211.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
J. H. Kim; K. M. Kim; J. T. Yeom and S. Young,Metals and Materials International,Effect of yttrium on martensite-austenite phase transformation temperatures and high temperature oxidation kinetics of Ti-Ni-Hf high-temperature shape memory alloys,2016.0,150.0,192.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
M. Moshref-Javadi; M. Belbasi; S. H. Seyedein and M. T. Salehi,Journal of Materials Science and Technology,Fabrication of (Ti;Hf)-rich NiTiHf Alloy Using Graphitic Mold and Crucible,2014.0,170.0,205.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
M. Moshref-Javadi; M. Belbasi; S. Seyedein and M. Salehi,,Heat Treatment of a (Ti; Hf)-Rich NiTiHf High Temperature Shape Memory Alloy,2011.0,168.0,204.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
M. Moshref-Javadi; M. Belbasi; S. Seyedein and M. Salehi,,Heat Treatment of a (Ti; Hf)-Rich NiTiHf High Temperature Shape Memory Alloy,2011.0,143.0,177.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
S. M. Tuominen,Shape Memory and Superelastic Technologies,High Transformation Temperature Ni-Ti-Hf Alloys,1994.0,133.0,163.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. M. Tuominen,Shape Memory and Superelastic Technologies,High Transformation Temperature Ni-Ti-Hf Alloys,1994.0,137.0,160.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
S. M. Tuominen,Shape Memory and Superelastic Technologies,High Transformation Temperature Ni-Ti-Hf Alloys,1994.0,148.0,168.0,49.0,Ni49.0Ti41.0Hf10.0 %,41.0,10.0
Y. F. Zheng; W. Cai; J. X. Zhang; Y. Q. Wang; L. C. Zhao and H. Q. Ye,Materials Letters,High-resolution electron microscopy study on the substructure of Ti–Ni–Hf B19′ Martensite,1998.0,184.0,218.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
G. S. Firstov; J. Van Humbeeck and Y. N. Koval,Materials Science and Engineering: A,High-temperature shape memory alloys,2004.0,181.0,118.0,49.0,Ni49.0Ti36.3Hf14.7 %,36.3,14.7
X. Yi; K. Sun; W. Gao; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Martensitic transformation and mechanical properties of Ti-Ni-Hf high temperature shape memory alloy with network structure second particles,2018.0,183.0,210.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; K. Sun; W. Gao; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Martensitic transformation and mechanical properties of Ti-Ni-Hf high temperature shape memory alloy with network structure second particles,2018.0,192.0,230.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; K. Sun; W. Gao; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Martensitic transformation and mechanical properties of Ti-Ni-Hf high temperature shape memory alloy with network structure second particles,2018.0,140.0,170.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; W. Gao; X. Meng; Z. Gao; W. Cai and L. Zhao,Journal of Alloys and Compounds,Martensitic transformation behaviors and mechanical properties of (Ti 36 Ni 49 Hf 15) 100-x Y x high temperature shape memory alloys,2017.0,209.0,245.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
Y. Wang; W. Cai; W. Zhu and L. C. Zhao,Shape Memory and Superelastic Technologies,Microstructure and Mechnical Behavior of a Ni-Ti-Hf High Temperature Shape Memory Alloy,1997.0,184.0,218.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
R. V. S. Prasad; C. H. Park; S.-W. Kim; J. K. Hong and J.-T. Yeom,Journal of Alloys and Compounds,Microstructure and phase transformation behavior of a new high temperature NiTiHf-Ta shape memory alloy with excellent formability,2017.0,203.0,236.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; K. Sun; W. Gao; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Microstructure design of the excellent shape recovery properties in (Ti; Hf) 2Ni/Ti-Ni-Hf high temperature shape memory alloy composite,2017.0,122.0,157.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; K. Sun; W. Gao; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Microstructure design of the excellent shape recovery properties in (Ti; Hf) 2Ni/Ti-Ni-Hf high temperature shape memory alloy composite,2017.0,186.0,231.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,192.0,232.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,192.0,237.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
X. Yi; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Multi-stage martensitic transformation behaviors and microstructural characteristics of Ti-Ni-Hf high temperature shape memory alloy powders,2019.0,190.0,235.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
