Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Zr (at.%)
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,55.0,12.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,47.0,-1.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,67.0,19.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,47.0,-4.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,37.0,-18.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,41.0,-15.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,83.0,27.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,31.0,-26.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,40.0,-22.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,35.0,3.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,41.0,2.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,29.0,-12.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,46.0,5.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,37.0,-5.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,58.0,15.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,29.0,-15.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,23.0,-23.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,22.0,-27.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,76.0,24.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,18.0,-42.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,14.0,-48.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,46.0,0.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,-5.0,-62.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,-13.0,-62.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,0.0,-70.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,115.0,-60.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,129.0,70.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,135.0,75.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,112.0,49.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,109.0,43.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,137.0,71.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,139.0,72.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,112.0,45.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,115.0,45.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,148.0,77.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,120.0,48.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,126.0,50.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,165.0,84.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,58.0,-60.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,135.0,10.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,74.0,32.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,74.0,27.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,76.0,26.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,54.0,4.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,60.0,10.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,85.0,34.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,56.0,4.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,61.0,3.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,98.0,38.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,68.0,4.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,77.0,6.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,115.0,41.0,50.3,Ni50.3Ti32.2Zr17.5 %,32.2,17.5
A. M. Pérez-Sierra; J. Pons; R. Santamarta; I. Karaman and R. D. Noebe,Scripta Materialia,Stability of a Ni-rich Ni-Ti-Zr high temperature shape memory alloy upon low temperature aging and thermal cycling,2016.0,74.0,1.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. M. Pérez-Sierra; J. Pons; R. Santamarta; I. Karaman and R. D. Noebe,Scripta Materialia,Stability of a Ni-rich Ni-Ti-Zr high temperature shape memory alloy upon low temperature aging and thermal cycling,2016.0,163.0,110.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. M. Pérez-Sierra; J. Pons; R. Santamarta; I. Karaman and R. D. Noebe,Scripta Materialia,Stability of a Ni-rich Ni-Ti-Zr high temperature shape memory alloy upon low temperature aging and thermal cycling,2016.0,186.0,91.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
P. Olier; J. C. Brachet; J. L. Bechade; C. Foucher and G. Guenin,Journal de Physique IV,Investigation of Transformation Temperatures Microstructure and Shape Memory Properties of NiTi; NiTiZr and NiTiHf Alloys,1995.0,175.0,92.0,48.5,Ni48.5Ti39.5Zr12.0 %,39.5,12.0
P. Olier; J. C. Brachet; J. L. Bechade; C. Foucher and G. Guenin,Journal de Physique IV,Investigation of Transformation Temperatures Microstructure and Shape Memory Properties of NiTi; NiTiZr and NiTiHf Alloys,1995.0,218.0,130.0,48.5,Ni48.5Ti36.5Zr15.0 %,36.5,15.0
Z. Pu; H. Tseng and K. Wu,International Society for Optical Engineering,Martensite transformation and shape memory effect of NiTi-Zr high-temperature shape memory alloys,1995.0,152.0,55.0,50.0,Ni50.0Ti45.0Zr5.0 %,45.0,5.0
Z. Pu; H. Tseng and K. Wu,International Society for Optical Engineering,Martensite transformation and shape memory effect of NiTi-Zr high-temperature shape memory alloys,1995.0,95.0,23.0,50.0,Ni50.0Ti40.0Zr10.0 %,40.0,10.0
Z. Pu; H. Tseng and K. Wu,International Society for Optical Engineering,Martensite transformation and shape memory effect of NiTi-Zr high-temperature shape memory alloys,1995.0,250.0,167.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
Z. Pu; H. Tseng and K. Wu,International Society for Optical Engineering,Martensite transformation and shape memory effect of NiTi-Zr high-temperature shape memory alloys,1995.0,320.0,255.0,50.0,Ni50.0Ti30.0Zr20.0 %,30.0,20.0
