Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Cu (at.%),composition,Al (at.%),Mn (at.%)
Lopez; Mellor; Blazquez; Gomez,,The stabilization of martensite in Cu-AI-Mn alloys,1988.0,54.0,-10.0,70.7,Cu70.7Al21.8Mn7.5 %,21.8,7.5
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,155.0,108.0,76.1,Cu76.1Al23.0Mn0.9 %,23.0,0.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,93.8,48.0,71.8,Cu71.8Al26.5Mn1.7 %,26.5,1.7
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,117.0,76.3,72.8,Cu72.8Al25.1Mn2.1 %,25.1,2.1
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,117.0,76.3,72.8,Cu72.8Al25.1Mn2.1 %,25.1,2.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,72.1,25.0,69.2,Cu69.2Al28.5Mn2.3 %,28.5,2.3
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,114.9,59.6,70.7,Cu70.7Al27.0Mn2.3 %,27.0,2.3
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,94.0,35.0,70.7,Cu70.7Al27.0Mn2.3 %,27.0,2.3
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,76.0,26.8,70.2,Cu70.2Al27.4Mn2.4 %,27.4,2.4
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,168.5,110.2,73.4,Cu73.4Al23.6Mn3.0 %,23.6,3.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,114.2,63.4,73.4,Cu73.4Al23.6Mn3.0 %,23.6,3.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,99.0,52.9,70.1,Cu70.1Al26.8Mn3.1 %,26.8,3.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,94.0,25.0,70.1,Cu70.1Al26.8Mn3.1 %,26.8,3.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,105.2,62.5,72.9,Cu72.9Al24.0Mn3.1 %,24.0,3.1
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,105.2,62.5,72.9,Cu72.9Al24.0Mn3.1 %,24.0,3.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,94.8,52.3,72.2,Cu72.2Al24.0Mn3.8 %,24.0,3.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,94.8,52.3,72.2,Cu72.2Al24.0Mn3.8 %,24.0,3.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,88.6,45.4,71.7,Cu71.7Al24.2Mn4.1 %,24.2,4.1
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,88.6,45.4,71.7,Cu71.7Al24.2Mn4.1 %,24.2,4.1
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,-5.7,-44.1,67.1,Cu67.1Al28.5Mn4.4 %,28.5,4.4
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,146.0,100.0,71.9,Cu71.9Al23.0Mn5.1 %,23.0,5.1
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,162.0,118.0,69.7,Cu69.7Al24.9Mn5.4 %,24.9,5.4
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,61.6,16.4,69.7,Cu69.7Al24.9Mn5.4 %,24.9,5.4
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,43.1,1.8,68.3,Cu68.3Al25.8Mn5.9 %,25.8,5.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,43.1,1.8,68.3,Cu68.3Al25.8Mn5.9 %,25.8,5.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,68.0,21.2,70.0,Cu70.0Al24.1Mn5.9 %,24.1,5.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,68.0,21.2,70.0,Cu70.0Al24.1Mn5.9 %,24.1,5.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,68.0,21.2,70.0,Cu70.0Al24.0Mn6.0 %,24.0,6.0
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,94.0,49.0,72.0,Cu72.0Al22.0Mn6.0 %,22.0,6.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,94.0,49.0,72.0,Cu72.0Al22.0Mn6.0 %,22.0,6.0
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,28.9,-12.0,67.4,Cu67.4Al26.4Mn6.2 %,26.4,6.2
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,28.9,-12.0,67.4,Cu67.4Al26.4Mn6.2 %,26.4,6.2
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,2.3,-38.6,65.8,Cu65.8Al27.9Mn6.3 %,27.9,6.3
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,152.0,106.0,72.5,Cu72.5Al20.9Mn6.6 %,20.9,6.6
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,29.8,-16.1,67.4,Cu67.4Al25.8Mn6.8 %,25.8,6.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,34.5,-3.8,68.2,Cu68.2Al24.9Mn6.9 %,24.9,6.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,34.5,-3.8,68.2,Cu68.2Al24.9Mn6.9 %,24.9,6.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,45.7,8.6,69.0,Cu69.0Al24.1Mn6.9 %,24.1,6.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,80.0,35.0,71.6,Cu71.6Al21.4Mn7.0 %,21.4,7.0
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,-30.0,-68.4,63.8,Cu63.8Al28.9Mn7.3 %,28.9,7.3
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,-14.6,-53.3,64.9,Cu64.9Al27.4Mn7.7 %,27.4,7.7
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,13.0,-28.2,66.5,Cu66.5Al25.7Mn7.8 %,25.7,7.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,13.0,-28.2,66.5,Cu66.5Al25.7Mn7.8 %,25.7,7.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,22.0,-20.7,67.3,Cu67.3Al24.9Mn7.8 %,24.9,7.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,22.0,-20.7,67.3,Cu67.3Al24.9Mn7.8 %,24.9,7.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,22.0,-20.7,67.3,Cu67.3Al24.9Mn7.8 %,24.9,7.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,33.4,-5.4,68.1,Cu68.1Al24.0Mn7.9 %,24.0,7.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,33.4,-5.4,68.1,Cu68.1Al24.0Mn7.9 %,24.0,7.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,33.4,-5.4,68.1,Cu68.1Al24.0Mn7.9 %,24.0,7.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,78.1,40.5,68.9,Cu68.9Al23.2Mn7.9 %,23.2,7.9
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,48.2,6.5,68.9,Cu68.9Al23.2Mn7.9 %,23.2,7.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,48.2,6.0,68.9,Cu68.9Al23.2Mn7.9 %,23.2,7.9
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,94.0,59.0,70.0,Cu70.0Al22.0Mn8.0 %,22.0,8.0
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,69.0,37.0,70.0,Cu70.0Al21.5Mn8.5 %,21.5,8.5
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,10.2,-35.9,66.3,Cu66.3Al24.9Mn8.8 %,24.9,8.8
Mallik; Sampath,,Effect of alloying on microstructure and shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,123.0,69.0,71.7,Cu71.7Al19.5Mn8.8 %,19.5,8.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,3.2,-32.6,66.2,Cu66.2Al24.0Mn9.8 %,24.0,9.8
MVAMos; Manosa; Planes; Romero; Castro,,Kinetics of the phase separation in Cu–Al–Mn alloys and the influence on martensitic transformations,2004.0,42.0,-13.0,70.1,Cu70.1Al23.6Mn6.3 %,23.6,6.3
