Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Au (at.%)
,,,2022.0,8.8746,27.659,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,9.3998,27.124,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,9.2372,26.045,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,9.3633,27.013,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,9.4164,26.953,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,8.6835,28.668,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,9.4909,28.185,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,9.5233,27.964,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,9.3816,27.981,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,9.2778,27.601,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,9.3404,27.943,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,3.7393,20.561,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,3.7404,20.567,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,3.7486,20.55,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,3.7432,20.583,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,3.6572,20.547,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,3.7225,20.538,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,3.6977,20.559,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,9.095,26.634,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,9.1757,26.933,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,9.1163,26.345,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,9.2024,27.264,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,8.6995,27.821,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,9.084,26.161,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,8.9782,25.333,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,9.0674,25.276,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,3.8197,20.577,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,3.7629,20.589,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,3.772,20.603,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,3.6816,20.574,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,3.7971,20.565,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
