Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Au (at.%)
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,11.0,Ni11.0Ti49.0Au40.0 %,49.0,40.0
