Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Zr (at.%)
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,10.0,10.0,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,10.0,10.0,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,10.0,10.0,50.0,Ni50.0Ti38.0Zr12.0 %,38.0,12.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,10.0,10.0,50.0,Ni50.0Ti32.0Zr18.0 %,32.0,18.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,10.0,10.0,50.0,Ni50.0Ti26.0Zr24.0 %,26.0,24.0
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
G. S. Firstov; J. Van Humbeeck and Y. N. Koval,Scripta Materialia,Comparison of high temperature shape memory behaviour for ZrCu-based; Ti–Ni–Zr and Ti–Ni–Hf alloys,2004.0,5.0,5.0,48.79,Ni48.79Ti33.0Zr18.21 %,33.0,18.21
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Metallurgical and Materials Transactions A,Grain-size effect on shape-memory behavior of Ti35.0Ni49.7Zr15.4 thin films,2004.0,10.0,10.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
